mode,topk,w_prey,w_cat,w_count,prey_count_threshold,threshold,tp,fp,fn,tn,n,precision,recall,f1,objective
topk_mean,2,0.8,-0.3,0.0,0.3,0.86,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.88,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.9,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.92,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.94,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.96,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.98,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.0,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.02,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.04,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.06,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.08,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.1,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.12,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.14,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.16,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.18,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.2,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.22,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.24,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.26,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.28,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.3,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.32,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.34,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.36,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.38,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.4,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.42,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.44,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.46,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.48,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.5,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.52,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.54,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.56,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.58,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.1,25,10,1,373,409,0.7142857142857143,0.9615384615384616,0.819672131147541,15.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.12,25,10,1,373,409,0.7142857142857143,0.9615384615384616,0.819672131147541,15.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.14,25,9,1,374,409,0.7352941176470589,0.9615384615384616,0.8333333333333333,14.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.16,25,8,1,375,409,0.7575757575757576,0.9615384615384616,0.8474576271186441,13.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.18,25,7,1,376,409,0.78125,0.9615384615384616,0.8620689655172413,12.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.2,25,6,1,377,409,0.8064516129032258,0.9615384615384616,0.8771929824561403,11.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.22,25,5,1,378,409,0.8333333333333334,0.9615384615384616,0.8928571428571429,10.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.24,24,3,2,380,409,0.8888888888888888,0.9230769230769231,0.9056603773584906,13.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.26,24,1,2,382,409,0.96,0.9230769230769231,0.9411764705882353,11.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.28,24,1,2,382,409,0.96,0.9230769230769231,0.9411764705882353,11.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.3,24,1,2,382,409,0.96,0.9230769230769231,0.9411764705882353,11.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.32,24,1,2,382,409,0.96,0.9230769230769231,0.9411764705882353,11.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.34,24,0,2,383,409,1.0,0.9230769230769231,0.9600000000000001,10.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.36,24,0,2,383,409,1.0,0.9230769230769231,0.9600000000000001,10.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.38,24,0,2,383,409,1.0,0.9230769230769231,0.9600000000000001,10.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.4,24,0,2,383,409,1.0,0.9230769230769231,0.9600000000000001,10.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.42,24,0,2,383,409,1.0,0.9230769230769231,0.9600000000000001,10.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.44,24,0,2,383,409,1.0,0.9230769230769231,0.9600000000000001,10.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.46,24,0,2,383,409,1.0,0.9230769230769231,0.9600000000000001,10.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.48,24,0,2,383,409,1.0,0.9230769230769231,0.9600000000000001,10.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.5,15,0,11,383,409,1.0,0.5769230769230769,0.7317073170731707,55.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.52,2,0,24,383,409,1.0,0.07692307692307693,0.14285714285714288,120.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.54,2,0,24,383,409,1.0,0.07692307692307693,0.14285714285714288,120.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.56,2,0,24,383,409,1.0,0.07692307692307693,0.14285714285714288,120.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.58,2,0,24,383,409,1.0,0.07692307692307693,0.14285714285714288,120.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.6,2,0,24,383,409,1.0,0.07692307692307693,0.14285714285714288,120.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.62,2,0,24,383,409,1.0,0.07692307692307693,0.14285714285714288,120.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.64,2,0,24,383,409,1.0,0.07692307692307693,0.14285714285714288,120.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.66,2,0,24,383,409,1.0,0.07692307692307693,0.14285714285714288,120.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.68,2,0,24,383,409,1.0,0.07692307692307693,0.14285714285714288,120.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.7,2,0,24,383,409,1.0,0.07692307692307693,0.14285714285714288,120.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.72,2,0,24,383,409,1.0,0.07692307692307693,0.14285714285714288,120.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.74,2,0,24,383,409,1.0,0.07692307692307693,0.14285714285714288,120.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.76,1,0,25,383,409,1.0,0.038461538461538464,0.07407407407407407,125.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.78,1,0,25,383,409,1.0,0.038461538461538464,0.07407407407407407,125.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.8,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.82,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.84,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.86,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.88,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.9,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.92,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.94,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.96,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.98,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.0,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.02,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.04,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.06,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.08,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.1,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.12,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.14,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.16,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.18,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.2,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.22,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.24,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.26,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.28,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.3,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.32,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.34,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.36,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.38,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.4,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.42,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.44,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.46,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.48,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.5,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.52,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.54,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.56,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.58,0,0,26,383,409,0.0,0.0,0.0,130.0
max,1,0.8,-0.3,0.0,0.5,0.1,26,19,0,364,409,0.5777777777777777,1.0,0.732394366197183,19.0
max,1,0.8,-0.3,0.0,0.5,0.12,25,18,1,365,409,0.5813953488372093,0.9615384615384616,0.7246376811594203,23.0
max,1,0.8,-0.3,0.0,0.5,0.14,25,18,1,365,409,0.5813953488372093,0.9615384615384616,0.7246376811594203,23.0
max,1,0.8,-0.3,0.0,0.5,0.16,25,17,1,366,409,0.5952380952380952,0.9615384615384616,0.7352941176470588,22.0
max,1,0.8,-0.3,0.0,0.5,0.18,25,16,1,367,409,0.6097560975609756,0.9615384615384616,0.7462686567164178,21.0
max,1,0.8,-0.3,0.0,0.5,0.2,25,15,1,368,409,0.625,0.9615384615384616,0.7575757575757575,20.0
