burst_id,frame_idx,in_x,in_s
20260512_013740_gen1,3,1,0
20260512_013740_gen1,4,1,0
20260512_013740_gen1,6,1,0
20260512_014807_gen6,5,1,0
20260512_014807_gen6,6,1,0
20260512_014927_gen9,8,0,1
20260512_035156_gen1,2,1,0
20260512_035156_gen1,6,0,1
20260512_035156_gen1,9,0,1
20260512_043338_gen2,2,1,0
20260512_043338_gen2,3,1,0
20260512_070525_gen3,0,1,0
20260512_070525_gen3,2,1,0
20260512_070525_gen3,3,1,0
20260512_070525_gen3,5,1,0
20260512_070525_gen3,9,0,1
20260512_073347_gen6,3,1,0
20260512_073347_gen6,5,1,0
20260512_073831_gen7,1,1,0
20260512_073831_gen7,2,1,0
20260512_073831_gen7,8,1,0
20260512_073844_gen8,9,0,1
20260512_073910_gen9,5,1,0
20260512_074810_gen11,8,1,0
20260512_074810_gen11,9,1,0
20260512_074852_gen12,3,1,0
20260512_074852_gen12,4,1,0
20260512_074852_gen12,5,1,0
20260512_075650_gen14,4,1,0
20260512_131817_gen1,0,1,0
20260512_131817_gen1,8,0,1
20260512_132122_gen2,0,0,1
20260512_132122_gen2,6,1,0
20260512_132122_gen2,7,1,0
20260512_132122_gen2,9,1,0
20260512_135300_gen3,2,0,1
20260512_191323_gen4,0,1,0
20260512_191323_gen4,1,1,0
20260512_194755_gen2,0,1,0
20260512_194755_gen2,1,1,0
20260512_194755_gen2,5,0,1
20260512_194755_gen2,7,0,1
20260512_225807_gen1,1,1,0
20260512_225807_gen1,2,1,0
20260512_225807_gen1,4,1,0
20260512_225807_gen1,5,1,0
20260512_231622_gen4,1,1,0
20260513_001556_gen5,6,1,0
20260513_070807_gen1,7,0,1
20260513_070807_gen1,8,1,0
20260513_071442_gen2,5,0,1
20260513_074949_gen6,1,1,0
20260513_083647_gen1,1,0,1
20260513_083647_gen1,8,1,0
20260513_083702_gen2,1,1,0
20260513_084519_gen3,2,1,0
20260513_084519_gen3,5,0,1
20260513_101347_gen1,0,0,1
20260513_101347_gen1,1,0,1
20260513_101347_gen1,8,1,0
20260513_101347_gen1,9,1,0
20260513_101429_gen2,1,1,0
20260513_120616_gen3,0,0,1
20260513_170032_gen4,6,0,1
20260513_171825_gen5,8,1,0
20260513_172136_gen6,1,1,0
20260513_172136_gen6,2,1,0
20260513_172136_gen6,3,1,0
20260513_172136_gen6,4,1,0
20260513_172136_gen6,5,1,0
20260513_172136_gen6,6,1,0
20260513_182819_gen7,0,1,0
20260513_182819_gen7,1,1,0
20260513_211441_gen3,6,1,0
20260513_211441_gen3,8,1,0
20260513_224657_gen9,0,1,0
20260513_224657_gen9,2,1,0
20260513_224657_gen9,4,1,0
20260514_000754_gen5,5,1,0
20260514_000754_gen5,6,0,1
20260514_000754_gen5,8,0,1
20260514_000925_gen6,4,0,1
20260514_000925_gen6,8,1,0
20260514_000925_gen6,9,0,1
20260514_003119_gen8,7,1,0
20260514_023154_gen1,2,1,0
20260514_023208_gen2,4,1,0
20260514_070544_gen1,0,0,1
20260514_070544_gen1,3,1,0
20260514_070544_gen1,5,1,0
20260514_070544_gen1,7,0,1
20260514_070544_gen1,8,0,1
