mode,topk,w_prey,w_cat,w_count,prey_count_threshold,threshold,tp,fp,fn,tn,n,precision,recall,f1,objective
topk_mean,2,0.8,-0.3,0.0,0.3,1.02,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.04,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.06,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.08,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.1,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.12,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.14,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.16,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.18,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.2,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.22,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.24,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.26,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.28,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.3,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.32,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.34,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.36,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.38,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.4,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.42,0,0,27,362,389,0.0,0.0,0.0,135.0
